105年02月01日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
00651R,香港反,"871,000",126,"12,838,900",14.50,14.86,14.50,14.78,＋,0.09,14.76,155,14.78,53,0.00
="008201",上證50,"13,800",44,"1,008,140",74.35,74.35,72.30,72.65,－,1.70,72.50,1,73.85,1,0.00
01001T,富邦R1,"10,000",3,"159,200",15.92,15.92,15.92,15.92,,0.00,15.91,1,15.98,2,0.00
01002T,國泰R1,"20,000",13,"339,180",16.99,16.99,16.92,16.98,,0.00,16.94,2,16.98,27,0.00
01003T,新光R1,0,0,0,--,--,--,--,,0.00,14.08,1,14.10,186,0.00
01004T,富邦R2,"9,000",4,"112,230",12.47,12.47,12.47,12.47,,0.00,12.48,1,12.57,12,0.00
01007T,國泰R2,"9,000",5,"138,020",15.35,15.35,15.33,15.35,＋,0.01,15.35,9,15.36,1,0.00
03001P,凱基3W,"20,000",1,"13,000",0.65,0.65,0.65,0.65,－,0.05,0.64,30,0.65,30,0.00
03001X,元展01,"1,000",1,"61,000",61.00,61.00,61.00,61.00,X,0.00,60.50,11,61.00,9,103.00
03002P,L9富邦,0,0,0,--,--,--,--,,0.00,0.88,50,0.89,50,0.00
03003X,元展03,"3,000",3,"144,500",48.00,48.30,48.00,48.30,＋,0.30,48.50,10,48.80,10,144.00
03004X,元展04,0,0,0,--,--,--,--,,0.00,6.25,10,6.35,10,18.00
03005X,元展05,"8,000",2,"83,000",10.30,10.50,10.30,10.50,＋,0.30,10.50,10,10.70,10,21.70
03006X,元展06,"104,000",49,"1,602,000",15.00,15.80,14.80,15.60,＋,0.20,15.60,8,15.70,12,38.40
="030071",統一K8,"343,000",7,"3,430",0.01,0.01,0.01,0.01,,0.00,0.01,10,0.02,83,59.55
03007X,元展07,"15,000",2,"108,750",7.20,7.35,7.20,7.35,－,0.25,7.45,2,7.50,10,15.85
03009X,元展09,"8,000",2,"110,400",13.70,13.90,13.70,13.90,X,0.00,13.90,10,14.00,10,23.70
03010X,元展10,"2,000",2,"55,200",27.60,27.60,27.60,27.60,＋,0.20,27.50,1,30.00,2,79.50
03011X,元展11,0,0,0,--,--,--,--,,0.00,1.61,10,1.62,10,6.38
03012X,元展12,"37,000",3,"223,850",6.30,6.30,5.95,5.95,－,0.35,6.00,10,6.10,10,37.00
03013X,元展13,"81,000",4,"248,670",3.07,3.07,3.07,3.07,－,0.10,3.12,10,3.17,10,10.90
03014X,元展14,"2,000",1,"15,000",7.50,7.50,7.50,7.50,－,0.05,7.55,10,7.75,12,15.30
03015X,元展15,"8,000",3,"70,650",8.80,8.85,8.80,8.80,－,0.50,8.80,10,8.90,10,17.10
="030160",國泰HI,0,0,0,--,--,--,--,,0.00,--,0,0.01,2024,17.20
03016X,元展16,"33,000",6,"48,150",1.51,1.51,1.43,1.43,－,0.07,1.44,10,1.45,10,8.00
03017X,元展17,"120,000",16,"151,980",1.24,1.29,1.24,1.29,－,0.04,1.28,10,1.29,2,9.06
03018X,元展18,"180,000",9,"324,700",1.81,1.84,1.79,1.84,,0.00,1.82,10,1.88,10,15.00
03019X,元展19,"50,000",4,"86,300",1.73,1.75,1.71,1.75,,0.00,1.74,10,1.75,10,13.85
03020X,元展20,0,0,0,--,--,--,--,,0.00,2.13,10,2.16,10,16.30
="030216",國泰HV,"3,000",1,"13,800",4.60,4.60,4.60,4.60,－,0.33,4.48,30,4.90,4,51.80
03021X,元展21,"13,000",2,"108,250",8.35,8.35,8.30,8.30,－,0.10,8.45,10,8.80,10,26.45
03022X,富展01,0,0,0,--,--,--,--,,0.00,14.00,10,14.10,10,79.50
03023X,富展02,0,0,0,--,--,--,--,,0.00,12.80,10,12.90,10,25.46
03024X,富展03,0,0,0,--,--,--,--,,0.00,25.40,20,26.20,11,144.00
03025X,元展22,"5,000",3,"72,500",14.50,14.50,14.50,14.50,－,0.10,14.50,495,14.60,495,59.55
03026X,元展23,"57,000",4,"203,120",3.60,3.60,3.56,3.56,－,0.26,3.57,100,3.62,100,14.86
03027X,元展24,"15,000",2,"105,000",7.10,7.10,6.80,6.80,－,0.55,6.80,100,6.95,100,25.46
03028X,元展25,0,0,0,--,--,--,--,,0.00,14.10,10,14.30,10,59.00
03029X,元展26,"10,000",2,"84,000",8.40,8.40,8.40,8.40,X,0.00,8.30,10,8.40,10,32.45
03030X,元展27,"237,000",13,"448,690",1.75,1.95,1.75,1.85,＋,0.08,1.84,10,1.89,10,8.85
03031X,元展28,"60,000",6,"348,500",5.80,5.85,5.75,5.80,,0.00,5.85,10,5.90,10,47.70
="030323",1Z元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,5,25.46
="030324",2A元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,4922,79.50
03032X,元展29,"100,000",1,"305,000",3.05,3.05,3.05,3.05,X,0.00,2.87,10,2.90,10,9.62
03033X,元展30,"68,000",12,"476,150",7.20,7.20,6.90,7.05,－,0.20,6.95,10,7.00,10,252.00
03035X,元展32,"64,000",6,"320,740",5.05,5.10,4.97,5.10,＋,0.16,5.00,10,5.10,10,24.30
03037X,元展34,0,0,0,--,--,--,--,,0.00,4.99,10,5.05,10,17.30
03038X,元展35,0,0,0,--,--,--,--,,0.00,9.50,10,9.55,10,77.70
03039X,元展36,"45,000",2,"234,000",5.20,5.20,5.20,5.20,＋,0.10,5.20,10,5.30,10,275.00
03040X,元展37,"15,000",3,"76,600",5.10,5.20,5.05,5.20,＋,0.10,5.15,10,5.20,10,12.90
="030419",3F元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,495,14.86
03041X,元展38,"18,000",4,"66,130",3.81,3.81,3.62,3.66,－,0.15,3.51,10,3.55,10,138.00
03042F,06群益,0,0,0,--,--,--,--,,0.00,0.01,100,0.02,100,0.00
03042X,元展39,0,0,0,--,--,--,--,,0.00,6.90,10,7.00,10,34.65
03043F,B5群益,"300,000",3,"62,000",0.22,0.22,0.19,0.19,X,0.00,0.18,100,0.20,100,0.00
03043X,元展40,0,0,0,--,--,--,--,,0.00,9.55,10,9.75,10,51.90
03044F,B6群益,0,0,0,--,--,--,--,,0.00,0.35,200,0.36,200,0.00
03044X,元展41,0,0,0,--,--,--,--,,0.00,7.05,10,7.15,10,19.00
="030453",統一M1,"5,000",5,100,0.02,0.02,0.02,0.02,＋,0.01,0.01,5054,0.02,1263,24.21
03046X,元展43,"94,000",3,"328,360",3.48,3.50,3.48,3.49,＋,0.10,3.51,10,3.54,10,53.70
03047X,元展44,"170,000",8,"234,630",1.40,1.40,1.37,1.37,,0.00,1.37,10,1.38,10,7.22
03048X,元展45,"95,000",5,"171,700",1.81,1.81,1.78,1.78,,0.00,1.78,10,1.81,10,14.90
03049X,元展46,"50,000",2,"128,900",2.57,2.61,2.57,2.61,＋,0.12,2.56,10,2.58,10,46.50
03050X,元展47,"340,000",42,"786,800",2.37,2.37,2.24,2.30,－,0.04,2.29,20,2.30,10,39.70
03051X,元展48,0,0,0,--,--,--,--,,0.00,10.40,10,10.60,10,55.60
="030529",統一M4,0,0,0,--,--,--,--,,0.00,0.01,100,0.02,2479,9.62
03052X,元展49,0,0,0,--,--,--,--,,0.00,10.70,10,10.80,10,76.20
